VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE
-9999,-9999,NA,NA,NoData,NoData,NA,NA,NA,NA,NA,NA,NA,NA,255,255,255,1,1,1
11,11,NA,NA,Open Water,Open Water,NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0,0,1
12,12,NA,NA,Perennial Ice/Snow,Perennial Ice/Snow,NA,NA,NA,NA,NA,NA,NA,NA,159,161,240,0.623529412,0.631372549,0.941176471
31,31,NA,NA,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,NA,NA,NA,NA,NA,NA,NA,NA,191,191,191,0.749019608,0.749019608,0.749019608
381,11250,15,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117,NA,NA,117,100,NA,NA,IV-B,255,115,223,1,0.450980392,0.874509804
383,10010,25,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039
384,10060,15,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039
385,10040,13,10040,North American Warm Desert Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039
386,11490,28,11490_28,Western Great Plains Shortgrass Prairie,Grassland,13,61,NA,10,83,17,NA,II-B,205,205,102,0.803921569,0.803921569,0.4
387,11470,28,11470_28,Western Great Plains Foothill and Piedmont Grassland,Grassland,12,79,NA,10,87,13,NA,II-B,137,205,102,0.537254902,0.803921569,0.4
388,10720,28,10720_28,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Shrubland,125,NA,NA,125,100,NA,NA,IV-B,132,140,200,0.517647059,0.549019608,0.784313725
389,10930,28,10930_13_15_16_23_24_28,Southern Colorado Plateau Sand Shrubland,Shrubland,220,NA,NA,220,100,NA,NA,V-A,134,219,24,0.525490196,0.858823529,0.094117647
390,11250,25,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117,NA,NA,117,100,NA,NA,IV-B,255,115,223,1,0.450980392,0.874509804
391,10860,25,10860_25,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland,72,203,NA,53,74,26,NA,III-A,137,68,101,0.537254902,0.266666667,0.396078431
392,10950,25,10950_25,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland,10,NA,49,8,83,NA,17,II-B,255,56,132,1,0.219607843,0.517647059
393,10760,25,10760_25,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,Shrubland,22,NA,NA,22,100,NA,NA,II-C,229,69,99,0.898039216,0.270588235,0.388235294
394,10780,25,10780_16_23_24_25,Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrubland,146,162,NA,77,53,47,NA,III-A,52,155,207,0.203921569,0.607843137,0.811764706
395,10820,24,10820_12_15_16_17_23_24,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,815,NA,NA,815,100,NA,NA,V-B,216,6,73,0.847058824,0.023529412,0.28627451
396,11460,24,11460_15_16_23_24_25_28,Southern Rocky Mountain Montane-Subalpine Grassland,Grassland,20,NA,21,10,52,NA,48,I-B,167,205,178,0.654901961,0.803921569,0.698039216
397,11080,24,11080_4_5_13_14_15_24_25,Sonora-Mojave Semi-Desert Chaparral,Shrubland,81,NA,NA,81,100,NA,NA,IV-A,255,197,173,1,0.77254902,0.678431373
398,10870,24,10870_4_6_12_13_14_15_17_24_25,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrubland,329,NA,NA,329,100,NA,NA,V-A,52,154,184,0.203921569,0.603921569,0.721568627
399,11261,24,11261_16_23_24,Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush,Shrubland,49,NA,NA,49,100,NA,NA,IV-A,230,0,169,0.901960784,0,0.662745098
400,10820,16,10820_12_15_16_17_23_24,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,815,NA,NA,815,100,NA,NA,V-B,216,6,73,0.847058824,0.023529412,0.28627451
401,10660,16,10660_16_23_24,Inter-Mountain Basins Mat Saltbush Shrubland,Shrubland,NA,NA,NA,NA,NA,NA,NA,NA,11,190,127,0.043137255,0.745098039,0.498039216
402,10950,15,10950_15,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland,10,NA,138,9,93,NA,7,II-B,255,56,132,1,0.219607843,0.517647059
403,10640,15,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,239,119,NA,79,33,67,NA,III-A,158,170,215,0.619607843,0.666666667,0.843137255
404,10780,15,10780_15,Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrubland,282,NA,NA,282,100,NA,NA,V-A,52,155,207,0.203921569,0.607843137,0.811764706
405,11080,15,11080_4_5_13_14_15_24_25,Sonora-Mojave Semi-Desert Chaparral,Shrubland,81,NA,NA,81,100,NA,NA,IV-A,255,197,173,1,0.77254902,0.678431373
406,10930,15,10930_13_15_16_23_24_28,Southern Colorado Plateau Sand Shrubland,Shrubland,220,NA,NA,220,100,NA,NA,V-A,134,219,24,0.525490196,0.858823529,0.094117647
407,10950,14,10950_14,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland,10,NA,40,8,80,NA,20,II-B,255,56,132,1,0.219607843,0.517647059
408,10020,2,10020,Mediterranean California Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,255,245,215,1,0.960784314,0.843137255
409,10060,22,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,78,78,78,0.305882353,0.305882353,0.305882353
410,10010,21,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039
411,10060,21,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,78,78,78,0.305882353,0.305882353,0.305882353
412,10010,20,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039
413,10060,20,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,78,78,78,0.305882353,0.305882353,0.305882353
414,10010,10,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039
415,10060,10,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,78,78,78,0.305882353,0.305882353,0.305882353
416,10110,10,10110_6_10_12_17_18_19,Rocky Mountain Aspen Forest and Woodland,Hardwood,68,57,NA,31,46,54,NA,I-C,255,255,115,1,1,0.450980392
417,10451,10,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,13,38,49,I-C,200,209,255,0.784313725,0.819607843,1
418,10452,10,10452_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer,202,69,137,37,19,54,27,III-A,150,36,181,0.588235294,0.141176471,0.709803922
419,10453,10,10453_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir,Conifer,223,106,NA,72,32,68,NA,III-A,230,5,8,0.901960784,0.019607843,0.031372549
